transaccion_id,monto,hora,distancia_ubicacion_km,cantidad_transacciones_dia,es_comercio_nuevo,dispositivo_nuevo,fraude
407,1173713.02,19,258.62,1,1,0,0
408,42404.58,0,164.71,17,0,0,0
409,2717092.11,9,330.22,12,1,1,0
410,282947.16,7,756.75,11,1,0,0
411,964747.78,17,519.39,5,1,1,1
412,2850685.28,0,204.88,12,1,1,1
413,2852315.37,1,877.83,17,1,0,0
414,1724579.29,0,879.58,6,0,0,1
415,1899193.26,0,870.58,1,1,0,0
416,1350852.11,8,238.8,5,1,0,0
417,886700.21,12,451.24,14,1,1,1
418,992706.99,0,984.99,5,1,1,0
419,2020830.18,12,772.01,1,1,0,0
420,2259599.84,19,27.17,18,0,1,0
421,2376821.34,21,65.2,16,0,1,1
422,2370958.25,6,463.93,9,1,1,1
423,282706.25,1,909.22,19,0,0,1
424,1488316.71,5,538.7,5,0,1,0
425,182100.69,6,497.81,2,1,0,0
426,1653091.36,13,105.47,15,0,0,0
427,1330176.2,17,656.78,7,1,1,1
428,2664235.51,14,822.1,4,0,1,1
429,1059235.89,1,380.42,1,0,0,0
430,360030.38,9,775.61,13,0,1,0
431,437545.13,22,964.48,7,1,1,1
432,2286916.79,11,203.77,15,0,0,0
433,1858472.01,16,523.33,14,0,0,1
434,312356.8,7,287.14,19,1,0,0
435,261479.35,10,792.85,18,1,0,1
436,2105897.7,2,577.59,10,0,1,1
437,227561.39,5,634.58,9,1,1,0
438,2467361.58,8,797.91,8,0,0,0
439,2121664.26,5,395.97,10,0,0,0
440,253232.85,8,915.09,17,1,0,1
441,263664.77,6,533.03,2,1,1,1
442,2960052.34,8,157.95,6,1,0,0
443,1129069.68,17,695.9,5,0,1,0
444,1118220.02,11,793.26,9,1,0,0
445,2440270.71,7,316.76,5,0,0,0
446,2842273.25,7,857.18,18,1,0,1
447,2958143.18,17,906.14,9,0,1,1
448,2262600.77,19,276.9,17,1,1,1
449,1135016.16,14,983.52,17,0,1,1
450,259667.14,6,140.71,12,1,0,0
451,2333669.28,10,202.02,7,0,1,1
452,1679628.71,19,184.22,3,1,1,1
453,1278423.81,15,893.99,10,1,0,0
454,2719999.61,3,654.29,2,0,0,0
455,342480.47,5,152.1,3,1,1,0
456,1482949.06,21,440.32,16,0,1,1
457,43947.4,2,615.3,2,0,1,0
458,1411295.32,8,83.46,10,1,1,0
459,178346.79,9,882.42,6,0,0,0
460,365265.57,13,803.6,11,1,0,0
461,361403.48,10,505.21,7,1,0,1
462,1951138.8,17,967.13,15,0,1,1
463,2240674.19,21,417.76,6,1,1,1
464,1754272.61,11,984.11,9,0,0,0
465,2886895.92,22,667.92,12,0,0,1
466,1130863.03,11,634.67,19,1,1,0
467,864279.14,12,165.95,3,1,1,0
468,2607111.39,12,881.93,15,0,0,1
469,678551.56,18,427.49,2,0,0,0
470,2890035.39,18,162.23,2,1,0,0
471,46341.88,22,12.61,3,1,1,0
472,2909937.69,13,559.76,6,1,1,1
473,139048.14,3,527.4,15,1,1,0
474,2674517.91,12,719.35,10,0,1,1
475,1587826.32,7,890.26,9,1,1,0
476,2978964.74,22,79.41,1,0,1,0
477,230651.73,20,731.5,16,0,0,0
478,1666024.31,22,187.41,6,1,0,0
479,2908214.58,18,858.18,9,0,1,1
480,1574062.55,11,819.06,4,1,0,1
481,1891901.93,17,540.79,2,0,1,1
482,2090288.58,5,710.24,4,1,0,0
483,1369077.78,17,314.35,1,0,1,0
484,1886398.66,18,471.17,19,0,0,1
485,1757099.79,21,821.64,10,1,0,1
486,2704462.45,4,459.27,15,1,1,1
487,145884.68,23,357.8,19,0,1,1
488,850079.94,8,494.21,16,0,0,0
489,2851730.34,2,828.25,4,1,0,1
490,2671888.71,9,335.21,2,0,1,0
491,1372413.69,18,173.76,13,1,0,0
492,1864196.47,2,712.01,1,0,1,1
493,839369.74,21,825.98,17,1,1,0
494,572482.27,14,100.64,13,0,0,0
495,1396458.23,0,239.87,4,1,1,0
496,1066523.16,6,141.97,7,1,0,0
497,1755131.77,11,347.94,17,0,0,1
498,242426.56,16,450.35,9,1,1,1
499,2923440.47,20,748.83,4,0,0,0
500,2958770.13,23,651.15,19,1,1,1
501,2097503.52,19,620.93,1,1,1,1
502,1612928.14,4,352.37,10,1,1,1
503,935487.57,3,841.45,4,0,0,0
504,2443247.11,11,471.29,9,1,1,1
505,2057346.21,19,979.1,13,0,0,1
506,496224.65,23,634.14,14,1,1,1
507,2733672.28,17,126.26,10,0,1,0
508,2469386.36,16,676.18,6,0,1,0
509,2849901.74,18,325.1,16,0,0,0
510,2179901.33,8,686.33,6,1,0,0
511,1844111.44,3,69.64,17,0,1,0
512,1260546.68,20,174.88,10,1,1,0
513,2798858.17,1,855.74,18,0,0,1
514,2599531.03,3,227.18,18,0,0,0
515,145203.82,1,837.04,3,0,0,0
516,88837.25,14,279.28,15,0,1,0
517,1135625.47,1,642.88,15,1,0,1
518,2433554.46,3,694.15,4,0,1,1
519,2961955.63,5,512.65,9,0,0,0
520,459746.5,6,305.31,19,1,1,1
521,1786450.84,9,212.64,17,0,1,1
522,1148863.66,18,33.19,11,0,1,0
523,2910044.05,18,303.95,9,0,0,0
524,2527935.58,21,653.16,10,0,0,0
525,2516602.83,11,938.3,18,1,0,1
526,1411392.55,2,871.2,13,1,1,0
527,1250310.31,12,766.06,8,0,1,0
528,827487.15,17,788.45,7,1,0,0
529,178562.73,7,664.98,17,1,1,1
530,2595519.91,20,260.29,15,0,1,1
531,2440574.02,14,907.2,15,1,1,0
532,2999155.84,0,670.73,1,0,0,0
533,2989944.14,2,560.44,14,1,1,1
534,1670740.8,7,110.99,5,1,0,0
535,2309272.37,3,447.06,11,1,0,0
536,2834849.53,15,460.36,16,0,0,1
537,2550445.7,22,864.56,2,1,0,1
538,749570.82,9,546.65,8,0,0,0
539,1357126.96,11,380.4,11,0,1,0
540,396186.65,13,976.8,18,1,0,1
541,2862612.57,13,110.72,3,0,0,0
542,1822462.16,1,422.55,1,1,0,0
543,693641.99,22,42.02,11,0,1,0
544,2018385.05,4,739.9,16,0,1,1
545,1858203.44,4,918.08,18,1,1,0
546,1080906.53,5,280.04,16,1,1,1
547,349537.2,12,858.34,10,1,0,0
548,2018003.85,8,292.22,18,1,0,1
549,1565720.03,21,910.77,6,0,1,1
550,2319231.99,14,753.96,19,0,1,1
551,1565288.87,13,804.91,4,0,1,1
552,2558022.69,23,18.01,13,1,1,1
553,1660201.45,6,962.81,14,0,0,0
554,1687204.53,19,726.67,3,1,1,1
555,2631194.27,1,304.75,10,0,1,1
556,1216413.77,6,829.39,6,1,1,1
557,410705.53,5,281.52,1,0,1,0
558,96060.2,16,872.75,14,0,1,1
559,2267860.39,1,112.58,8,1,1,1
560,1864725.56,2,703.69,19,0,1,1
561,2115198.51,4,540.7,14,1,0,1
562,646762.84,4,96.53,10,0,0,0
563,417750.71,0,241.89,17,0,0,0
564,53488.55,7,12.4,9,1,0,0
565,1058256.8,11,468.77,6,1,0,0
566,1773853.88,23,301.27,11,0,0,1
567,1182809.69,3,598.36,7,0,1,0
568,1318050.02,12,297.24,17,0,1,0
569,2713434.5,22,299.92,1,0,0,0
570,1051283.85,14,743.19,5,0,1,0
571,1546828.57,10,48.14,9,0,0,0
572,2353122.51,9,902.89,18,1,1,1
573,1195662.92,2,852.26,2,1,1,1
574,1870039.23,21,667.8,11,1,1,1
575,2588467.49,13,593.22,6,0,1,1
576,2849066.66,15,892.3,8,0,1,1
577,449749.71,9,185.33,4,0,1,0
578,2780497.0,9,78.97,18,1,0,1
579,1481427.72,11,239.51,11,1,0,0
580,782150.72,8,794.58,5,0,1,0
581,1382815.91,0,34.67,15,0,0,1
582,2940297.4,4,582.81,18,1,1,0
583,1482928.1,19,995.44,2,1,0,0
584,992967.31,7,855.7,11,1,1,0
585,1903868.55,10,521.45,13,0,0,1
586,728035.4,11,63.64,4,0,1,0
587,236831.35,0,831.37,7,0,0,0
588,395350.37,21,598.98,11,1,1,1
589,392857.06,19,114.93,4,1,0,0
590,464189.05,10,93.86,15,0,1,0
591,425093.25,4,909.63,1,0,1,1
592,1926215.49,14,669.2,3,1,1,0
593,553821.45,4,829.29,14,0,0,1
594,1043545.18,11,878.98,6,1,0,0
595,2691397.35,4,571.77,18,1,0,0
596,1427145.3,16,517.45,1,0,1,0
597,2005997.64,16,430.43,6,1,0,1
598,525236.41,23,316.95,6,0,1,0
599,584944.17,11,434.6,16,1,0,1
600,132197.16,23,773.88,5,1,0,0
601,515115.84,14,601.92,17,0,0,0
602,842985.11,14,892.52,10,1,0,0
603,539261.35,5,443.38,18,0,1,1
604,275220.58,11,607.09,7,0,0,0
605,370701.25,19,631.31,3,1,0,0
606,1387728.52,17,591.7,13,0,1,1
607,626937.82,13,702.63,15,0,1,1
608,1099166.88,1,237.43,19,0,0,0
609,1515217.64,8,512.36,3,0,0,0
610,2074280.54,4,104.22,4,0,1,0
611,127543.3,19,384.51,5,0,1,0
612,2400237.09,0,487.67,1,1,1,1
613,1887422.16,22,652.22,4,0,0,0
614,254459.51,2,950.53,12,1,0,0
615,2622000.09,5,600.65,10,1,0,1
616,2763408.48,4,743.59,13,0,1,0
617,192623.1,20,506.27,14,1,1,1
618,837864.17,4,634.1,5,1,1,0
619,2420541.83,0,70.93,4,0,0,0
620,2247296.47,16,254.39,14,0,1,1
621,561717.85,18,361.85,10,0,0,0
622,635954.48,13,472.49,17,1,1,1
623,1117711.59,11,45.65,10,1,0,0
624,1458723.73,9,140.02,7,0,0,0
625,1858581.77,19,276.81,16,0,1,0
626,1113051.78,20,971.53,1,1,0,0
627,1392978.8,17,331.35,17,1,1,1
628,2244938.11,23,482.04,9,1,0,0
629,119682.78,10,196.1,6,1,1,0
630,764786.46,1,610.78,19,0,1,1
631,2142915.26,17,280.68,13,1,0,1
632,2686668.44,6,206.99,3,1,1,1
633,1539915.55,23,516.57,7,1,0,1
634,1601019.32,14,5.51,9,1,1,1
635,330444.31,10,7.66,5,0,1,0
636,1347762.98,17,219.07,10,0,1,1
637,1602525.63,22,36.72,17,1,1,1
638,734986.81,11,108.03,12,1,0,0
639,815037.26,5,338.86,16,0,1,1
640,1138079.65,19,802.59,3,0,1,0
